transform_type,heads_selection,high_key_max_value,high_value_max_value,low_key_max_value,low_value_max_value,axis_key,axis_value,cr
hadamard,0.3,8,8,6,6,"(2,)","(1, 3)",7.5495
hadamard,0.3,8,8,6,4,"(2,)","(1, 3)",7.8933
hadamard,0.3,8,8,4,6,"(2,)","(1, 3)",7.8187
hadamard,0.3,8,8,4,4,"(2,)","(1, 3)",8.1881
hadamard,0.5,12,12,6,6,"(2,)","(1, 3)",6.7856
hadamard,0.5,12,12,6,4,"(2,)","(1, 3)",7.2414
hadamard,0.5,12,12,4,6,"(2,)","(1, 3)",7.1588
hadamard,0.5,12,12,4,4,"(2,)","(1, 3)",7.6679
hadamard,0.5,12,10,6,6,"(2,)","(1, 3)",6.9946
hadamard,0.5,12,10,6,4,"(2,)","(1, 3)",7.4787
hadamard,0.5,12,10,4,6,"(2,)","(1, 3)",7.3917
hadamard,0.5,12,10,4,4,"(2,)","(1, 3)",7.9345
hadamard,0.5,12,8,6,6,"(2,)","(1, 3)",7.2724
hadamard,0.5,12,8,6,4,"(2,)","(1, 3)",7.7963
hadamard,0.5,12,8,4,6,"(2,)","(1, 3)",7.7027
hadamard,0.5,12,8,4,4,"(2,)","(1, 3)",8.2929
hadamard,0.5,10,12,6,6,"(2,)","(1, 3)",6.9923
hadamard,0.5,10,12,6,4,"(2,)","(1, 3)",7.4772
hadamard,0.5,10,12,4,6,"(2,)","(1, 3)",7.3876
hadamard,0.5,10,12,4,4,"(2,)","(1, 3)",7.931
hadamard,0.5,10,10,6,6,"(2,)","(1, 3)",7.2143
hadamard,0.5,10,10,6,4,"(2,)","(1, 3)",7.7305
hadamard,0.5,10,10,4,6,"(2,)","(1, 3)",7.6359
hadamard,0.5,10,10,4,4,"(2,)","(1, 3)",8.2166
hadamard,0.5,10,8,6,6,"(2,)","(1, 3)",7.5103
hadamard,0.5,10,8,6,4,"(2,)","(1, 3)",8.0703
hadamard,0.5,10,8,4,6,"(2,)","(1, 3)",7.9682
hadamard,0.5,10,8,4,4,"(2,)","(1, 3)",8.6015
hadamard,0.5,8,12,6,6,"(2,)","(1, 3)",7.266
hadamard,0.5,8,12,6,4,"(2,)","(1, 3)",7.7911
hadamard,0.5,8,12,4,6,"(2,)","(1, 3)",7.692
hadamard,0.5,8,12,4,4,"(2,)","(1, 3)",8.283
hadamard,0.5,8,10,6,6,"(2,)","(1, 3)",7.5061
hadamard,0.5,8,10,6,4,"(2,)","(1, 3)",8.0665
hadamard,0.5,8,10,4,6,"(2,)","(1, 3)",7.9616
hadamard,0.5,8,10,4,4,"(2,)","(1, 3)",8.5949
hadamard,0.5,8,8,6,6,"(2,)","(1, 3)",7.827
hadamard,0.5,8,8,6,4,"(2,)","(1, 3)",8.4372
hadamard,0.5,8,8,4,6,"(2,)","(1, 3)",8.3236
hadamard,0.5,8,8,4,4,"(2,)","(1, 3)",9.017
hadamard,0.7,12,12,6,6,"(2,)","(1, 3)",7.4782
hadamard,0.7,12,12,6,4,"(2,)","(1, 3)",8.2605
hadamard,0.7,12,12,4,6,"(2,)","(1, 3)",8.1344
hadamard,0.7,12,12,4,4,"(2,)","(1, 3)",9.0686
hadamard,0.7,12,10,6,6,"(2,)","(1, 3)",7.6312
hadamard,0.7,12,10,6,4,"(2,)","(1, 3)",8.4466
hadamard,0.7,12,10,4,6,"(2,)","(1, 3)",8.3157
hadamard,0.7,12,10,4,4,"(2,)","(1, 3)",9.2933
hadamard,0.7,12,8,6,6,"(2,)","(1, 3)",7.83
hadamard,0.7,12,8,6,4,"(2,)","(1, 3)",8.69
hadamard,0.7,12,8,4,6,"(2,)","(1, 3)",8.5524
hadamard,0.7,12,8,4,4,"(2,)","(1, 3)",9.5889
hadamard,0.7,10,12,6,6,"(2,)","(1, 3)",7.6294
hadamard,0.7,10,12,6,4,"(2,)","(1, 3)",8.4454
hadamard,0.7,10,12,4,6,"(2,)","(1, 3)",8.3121
hadamard,0.7,10,12,4,4,"(2,)","(1, 3)",9.29
hadamard,0.7,10,10,6,6,"(2,)","(1, 3)",7.7887
hadamard,0.7,10,10,6,4,"(2,)","(1, 3)",8.64
hadamard,0.7,10,10,4,6,"(2,)","(1, 3)",8.5016
hadamard,0.7,10,10,4,4,"(2,)","(1, 3)",9.5261
hadamard,0.7,10,8,6,6,"(2,)","(1, 3)",7.9959
hadamard,0.7,10,8,6,4,"(2,)","(1, 3)",8.8948
hadamard,0.7,10,8,4,6,"(2,)","(1, 3)",8.7491
hadamard,0.7,10,8,4,4,"(2,)","(1, 3)",9.8368
hadamard,0.7,8,12,6,6,"(2,)","(1, 3)",7.8253
hadamard,0.7,8,12,6,4,"(2,)","(1, 3)",8.686
hadamard,0.7,8,12,4,6,"(2,)","(1, 3)",8.5436
hadamard,0.7,8,12,4,4,"(2,)","(1, 3)",9.5801
hadamard,0.7,8,10,6,6,"(2,)","(1, 3)",7.9929
hadamard,0.7,8,10,6,4,"(2,)","(1, 3)",8.892
hadamard,0.7,8,10,4,6,"(2,)","(1, 3)",8.7438
hadamard,0.7,8,10,4,4,"(2,)","(1, 3)",9.8312
hadamard,0.7,8,8,6,6,"(2,)","(1, 3)",8.2113
hadamard,0.7,8,8,6,4,"(2,)","(1, 3)",9.1622
hadamard,0.7,8,8,4,6,"(2,)","(1, 3)",9.0058
hadamard,0.7,8,8,4,4,"(2,)","(1, 3)",10.1626
hadamard,0.9,12,12,6,6,"(2,)","(1, 3)",8.4394
hadamard,0.9,12,12,6,4,"(2,)","(1, 3)",9.7598
hadamard,0.9,12,12,4,6,"(2,)","(1, 3)",9.575
hadamard,0.9,12,12,4,4,"(2,)","(1, 3)",11.3112
hadamard,0.9,12,10,6,6,"(2,)","(1, 3)",8.502
hadamard,0.9,12,10,6,4,"(2,)","(1, 3)",9.8431
hadamard,0.9,12,10,4,6,"(2,)","(1, 3)",9.6557
hadamard,0.9,12,10,4,4,"(2,)","(1, 3)",11.4233
hadamard,0.9,12,8,6,6,"(2,)","(1, 3)",8.5812
hadamard,0.9,12,8,6,4,"(2,)","(1, 3)",9.949
hadamard,0.9,12,8,4,6,"(2,)","(1, 3)",9.758
hadamard,0.9,12,8,4,4,"(2,)","(1, 3)",11.5661
hadamard,0.9,10,12,6,6,"(2,)","(1, 3)",8.5014
hadamard,0.9,10,12,6,4,"(2,)","(1, 3)",9.8428
hadamard,0.9,10,12,4,6,"(2,)","(1, 3)",9.6539
hadamard,0.9,10,12,4,4,"(2,)","(1, 3)",11.4215
hadamard,0.9,10,10,6,6,"(2,)","(1, 3)",8.565
hadamard,0.9,10,10,6,4,"(2,)","(1, 3)",9.9276
hadamard,0.9,10,10,4,6,"(2,)","(1, 3)",9.736
hadamard,0.9,10,10,4,4,"(2,)","(1, 3)",11.5358
hadamard,0.9,10,8,6,6,"(2,)","(1, 3)",8.6453
hadamard,0.9,10,8,6,4,"(2,)","(1, 3)",10.0353
hadamard,0.9,10,8,4,6,"(2,)","(1, 3)",9.84
hadamard,0.9,10,8,4,4,"(2,)","(1, 3)",11.6814
hadamard,0.9,8,12,6,6,"(2,)","(1, 3)",8.5795
hadamard,0.9,8,12,6,4,"(2,)","(1, 3)",9.9476
hadamard,0.9,8,12,4,6,"(2,)","(1, 3)",9.7537
hadamard,0.9,8,12,4,4,"(2,)","(1, 3)",11.5614
hadamard,0.9,8,10,6,6,"(2,)","(1, 3)",8.6442
hadamard,0.9,8,10,6,4,"(2,)","(1, 3)",10.0342
hadamard,0.9,8,10,4,6,"(2,)","(1, 3)",9.8375
hadamard,0.9,8,10,4,4,"(2,)","(1, 3)",11.6786
hadamard,0.9,8,8,6,6,"(2,)","(1, 3)",8.7261
hadamard,0.9,8,8,6,4,"(2,)","(1, 3)",10.1442
hadamard,0.9,8,8,4,6,"(2,)","(1, 3)",9.9436
hadamard,0.9,8,8,4,4,"(2,)","(1, 3)",11.8279
